track,index,timestamp,sec since last signal,heading,heading change,heading change per sec,altitude (ft),speed (kts),speed (mph),alt/speed ratio,climb type,vert rate/speed ratio,vert rate per sec,latitude,longitude
1,11049,2023-05-31 19:02:24,16,185,2,0.125,2025.0,166.0,191.0,10.602094240837696,climbing,10.06282722513089,120.125,30.165,-97.68
1,11057,2023-05-31 19:02:40,16,184,1,0.0625,2350.0,181.0,208.0,11.298076923076923,climbing,5.408653846153846,70.3125,30.153,-97.681
1,11063,2023-05-31 19:02:56,16,183,1,0.0625,2625.0,199.0,229.0,11.462882096069869,climbing,4.707423580786026,67.375,30.139,-97.682
1,11072,2023-05-31 19:03:12,16,204,21,1.3125,2925.0,218.0,251.0,11.653386454183266,climbing,5.031872509960159,78.9375,30.124,-97.685
1,11080,2023-05-31 19:03:34,22,227,23,1.0454545454545454,3425.0,246.0,283.0,12.102473498233216,climbing,5.30035335689046,68.18181818181819,30.105,-97.704
1,11094,2023-05-31 19:04:04,30,228,1,0.03333333333333333,4225.0,267.0,307.0,13.762214983713354,climbing,6.550488599348534,67.03333333333333,30.081,-97.735
1,11103,2023-05-31 19:04:21,17,227,1,0.058823529411764705,5000.0,265.0,305.0,16.39344262295082,climbing,11.242622950819673,201.7058823529412,30.067,-97.753
1,11110,2023-05-31 19:04:39,18,215,12,0.6666666666666666,6225.0,248.0,285.0,21.842105263157894,climbing,12.031578947368422,190.5,30.052,-97.768
1,11117,2023-05-31 19:04:56,17,198,17,1.0,7000.0,252.0,290.0,24.137931034482758,climbing,8.106896551724137,138.2941176470588,30.035,-97.778
1,11128,2023-05-31 19:05:16,20,179,19,0.95,7675.0,264.0,304.0,25.24671052631579,climbing,7.2105263157894735,109.6,30.011,-97.782
1,11136,2023-05-31 19:05:35,19,161,18,0.9473684210526315,8425.0,275.0,316.0,26.661392405063292,climbing,7.699367088607595,128.05263157894737,29.986,-97.777
1,11146,2023-05-31 19:06:01,26,158,3,0.11538461538461539,9500.0,285.0,328.0,28.963414634146343,climbing,7.054878048780488,89.0,29.955,-97.762
1,11168,2023-05-31 19:06:45,44,159,1,0.022727272727272728,11125.0,298.0,343.0,32.434402332361515,climbing,7.355685131195335,57.34090909090909,29.903,-97.739
1,11175,2023-05-31 19:07:07,22,140,19,0.8636363636363636,12275.0,298.0,343.0,35.78717201166181,climbing,8.478134110787172,132.1818181818182,29.875,-97.719
1,11189,2023-05-31 19:07:34,27,140,0,0.0,13500.0,308.0,354.0,38.13559322033898,climbing,6.872881355932203,90.11111111111111,29.847,-97.69
1,11198,2023-05-31 19:07:52,18,165,25,1.3888888888888888,14100.0,311.0,358.0,39.385474860335194,climbing,4.941340782122905,98.27777777777777,29.823,-97.678
1,11207,2023-05-31 19:08:13,21,174,9,0.42857142857142855,14650.0,328.0,377.0,38.85941644562334,climbing,3.580901856763926,64.28571428571429,29.794,-97.674
1,11211,2023-05-31 19:08:32,19,160,14,0.7368421052631579,15000.0,353.0,406.0,36.94581280788177,climbing,3.770935960591133,80.57894736842105,29.763,-97.665
1,11224,2023-05-31 19:09:02,30,160,0,0.0,15900.0,375.0,432.0,36.80555555555556,climbing,5.497685185185185,79.16666666666667,29.715,-97.645
1,11237,2023-05-31 19:09:32,30,160,0,0.0,17375.0,377.0,434.0,40.034562211981566,climbing,6.394009216589862,92.5,29.665,-97.624
1,11249,2023-05-31 19:10:02,30,160,0,0.0,18675.0,381.0,438.0,42.636986301369866,climbing,5.136986301369863,75.0,29.617,-97.604
1,11261,2023-05-31 19:10:32,30,160,0,0.0,19625.0,398.0,458.0,42.84934497816594,climbing,4.366812227074236,66.66666666666667,29.567,-97.584
1,11274,2023-05-31 19:11:02,30,159,1,0.03333333333333333,20675.0,410.0,472.0,43.80296610169491,climbing,4.872881355932203,76.66666666666667,29.515,-97.561
1,11287,2023-05-31 19:11:32,30,159,0,0.0,21925.0,414.0,476.0,46.0609243697479,climbing,4.936974789915967,78.33333333333333,29.46,-97.537
1,11298,2023-05-31 19:12:02,30,158,1,0.03333333333333333,23025.0,414.0,476.0,48.371848739495796,climbing,2.258403361344538,35.833333333333336,29.407,-97.513
1,11310,2023-05-31 19:12:32,30,159,1,0.03333333333333333,23000.0,414.0,476.0,48.319327731092436,descending,0.052521008403361345,-0.8333333333333334,29.352,-97.489
1,11320,2023-05-31 19:13:03,31,159,0,0.0,23000.0,414.0,476.0,48.319327731092436,climbing,0.25840336134453784,3.967741935483871,29.298,-97.466
1,11330,2023-05-31 19:13:33,30,159,0,0.0,23125.0,416.0,479.0,48.2776617954071,climbing,2.0876826722338206,33.333333333333336,29.243,-97.442
1,11343,2023-05-31 19:14:03,30,159,0,0.0,24000.0,422.0,486.0,49.382716049382715,climbing,3.8580246913580245,62.5,29.192,-97.42
1,11354,2023-05-31 19:14:33,30,160,1,0.03333333333333333,25000.0,429.0,494.0,50.607287449392715,climbing,3.8461538461538463,63.333333333333336,29.133,-97.395
1,11366,2023-05-31 19:15:03,30,160,0,0.0,25900.0,435.0,501.0,51.69660678642715,climbing,3.592814371257485,60.0,29.077,-97.372
1,11379,2023-05-31 19:15:33,30,158,2,0.06666666666666667,26800.0,443.0,510.0,52.549019607843135,climbing,3.492156862745098,59.36666666666667,29.018,-97.347
1,11387,2023-05-31 19:15:51,18,134,24,1.3333333333333333,27325.0,460.0,529.0,51.65406427221172,climbing,3.1587901701323253,92.83333333333333,28.987,-97.322
1,11393,2023-05-31 19:16:08,17,117,17,1.0,27775.0,471.0,542.0,51.245387453874535,climbing,3.011070110701107,96.0,28.968,-97.289
1,11402,2023-05-31 19:16:25,17,100,17,1.0,28250.0,482.0,555.0,50.9009009009009,climbing,2.834234234234234,92.52941176470588,28.957,-97.252
1,11418,2023-05-31 19:17:10,45,95,5,0.1111111111111111,29400.0,489.0,563.0,52.2202486678508,climbing,2.841918294849023,35.55555555555556,28.95,-97.134
1,11432,2023-05-31 19:17:40,30,95,0,0.0,30250.0,489.0,563.0,53.730017761989345,climbing,2.664298401420959,50.0,28.944,-97.059
